39350 mondain {'Error Prone': 47.86212076892083, 'Design': 12.816122180528112, 'Performance': 163.58046506894158, 'Security': 163.58046506894158, 'Code Style': 8.00997190724121, 'Best Practices': 90.85912893207725, 'Multithreading': 140.64148288609027, 'Documentation': 20.025313266456433} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 31, 'java.security': 0, 'java.nio': 0, 'java.lang': 141, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 13}
896 JakeWharton {'Error Prone': 36.64832558689994, 'Design': 29.98560117084786, 'Performance': 94.02449895750802, 'Security': 111.21057254235924, 'Code Style': 10.589943689194916, 'Best Practices': 75.56038956345303, 'Multithreading': 97.36599983342481, 'Documentation': 14.149471262256887} {'java.sql': 0, 'java.text': 2, 'java.net': 4, 'java.math': 6, 'java.rmi': 0, 'java.util': 1413, 'java.security': 0, 'java.nio': 20, 'java.lang': 1911, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 766}
242686 paulk-asert {'Error Prone': 55.07063158596833, 'Design': 8.098746264008934, 'Performance': 123.43923772806905, 'Security': 172.90922177851314, 'Code Style': 1.9825892468902222, 'Best Practices': 41.247079714111685, 'Multithreading': 146.97932136818324, 'Documentation': 10.870054788661395} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 7, 'java.security': 0, 'java.nio': 0, 'java.lang': 106, 'others': 0, 'java.beans': 3, 'java.awt': 0, 'java.io': 0}
28984 jhy {'Error Prone': 14.607545083337987, 'Design': 3.844361794215663, 'Performance': 22.06104591567335, 'Security': 22.29075322735782, 'Code Style': 3.1735977762902072, 'Best Practices': 7.310554896121581, 'Multithreading': 22.29075322735782, 'Documentation': 6.723587849598031} {'java.sql': 0, 'java.text': 0, 'java.net': 200, 'java.math': 0, 'java.rmi': 0, 'java.util': 808, 'java.security': 0, 'java.nio': 137, 'java.lang': 1548, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 221}
287744 inder123 {'Error Prone': 67.49763337169458, 'Design': 34.4322626313935, 'Performance': 187.73173984546685, 'Security': 207.284676195211, 'Code Style': 9.433218833072463, 'Best Practices': 127.58723589751635, 'Multithreading': 176.47320873149908, 'Documentation': 16.780278285611193} {'java.sql': 0, 'java.text': 16, 'java.net': 3, 'java.math': 1, 'java.rmi': 0, 'java.util': 137, 'java.security': 0, 'java.nio': 0, 'java.lang': 71, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
10803 rozza {'Error Prone': 52.947689324483285, 'Design': 27.215280487957706, 'Performance': 139.4626084574724, 'Security': 165.9761224532728, 'Code Style': 20.31408438864166, 'Best Practices': 53.21223438796429, 'Multithreading': 165.9761224532728, 'Documentation': 31.79279114031152} {'java.sql': 0, 'java.text': 1, 'java.net': 0, 'java.math': 3, 'java.rmi': 0, 'java.util': 195, 'java.security': 0, 'java.nio': 1, 'java.lang': 111, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 7}
341589 asaph {'Error Prone': 17.422481785463198, 'Design': 15.183310223305998, 'Performance': 17.422481785463198, 'Security': 17.422481785463198, 'Code Style': 8.923442410382517, 'Best Practices': 15.552499608696229, 'Multithreading': 17.422481785463198, 'Documentation': 12.696667260579822} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 1, 'java.security': 0, 'java.nio': 0, 'java.lang': 2, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
416582 jbachorik {'Error Prone': 111.02843338168553, 'Design': 33.10425940190939, 'Performance': 119.76550779695589, 'Security': 158.12318865529068, 'Code Style': 9.00782769605973, 'Best Practices': 65.93587319136756, 'Multithreading': 104.95792073670104, 'Documentation': 20.917767967891127} {'java.sql': 0, 'java.text': 18, 'java.net': 47, 'java.math': 0, 'java.rmi': 0, 'java.util': 1159, 'java.security': 36, 'java.nio': 57, 'java.lang': 3222, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 542}
183662 chalup {'Error Prone': 13.026880926739832, 'Design': 3.7655603059562326, 'Performance': 13.026880926739832, 'Security': 13.026880926739832, 'Code Style': 3.0038583232692626, 'Best Practices': 13.026880926739832, 'Multithreading': 13.026880926739832, 'Documentation': 4.5433221588408825} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 0, 'java.security': 0, 'java.nio': 0, 'java.lang': 36, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
3253 vlasovskikh {'Error Prone': 77.22556222228098, 'Design': 18.216050113886908, 'Performance': 98.45544341216645, 'Security': 138.66092639622013, 'Code Style': 9.563660005811268, 'Best Practices': 70.82070256062079, 'Multithreading': 109.84798928666127, 'Documentation': 16.037033704333474} {'java.sql': 0, 'java.text': 0, 'java.net': 2, 'java.math': 0, 'java.rmi': 0, 'java.util': 79, 'java.security': 0, 'java.nio': 1, 'java.lang': 715, 'others': 0, 'java.beans': 0, 'java.awt': 80, 'java.io': 0}
19452 renas {'Error Prone': 9.687521459504534, 'Design': 16.059605444198123, 'Performance': 17.997991340459965, 'Security': 18.860981775303138, 'Code Style': 2.895876754990108, 'Best Practices': 12.32365545185765, 'Multithreading': 18.860981775303138, 'Documentation': 5.504933533583993} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 40, 'java.security': 0, 'java.nio': 0, 'java.lang': 99, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
987133 scottdraves {'Error Prone': 164.14243014173223, 'Design': 164.14243014173223, 'Performance': 164.14243014173223, 'Security': 164.14243014173223, 'Code Style': 164.14243014173223, 'Best Practices': 164.14243014173223, 'Multithreading': 164.14243014173223, 'Documentation': 164.14243014173223} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 0, 'java.security': 0, 'java.nio': 0, 'java.lang': 0, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
375028 nicbell {'Error Prone': 7.248082427758939, 'Design': 6.657770160933996, 'Performance': 9.12821261876975, 'Security': 9.905644886340022, 'Code Style': 4.773026913324457, 'Best Practices': 9.733958596250313, 'Multithreading': 9.905644886340022, 'Documentation': 5.96816535665011} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 19, 'java.security': 0, 'java.nio': 0, 'java.lang': 13, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
227010 mattrjacobs {'Error Prone': 44.29948662080024, 'Design': 10.454468870551155, 'Performance': 157.02779634084573, 'Security': 157.02779634084573, 'Code Style': 6.931862322104878, 'Best Practices': 14.778987633878087, 'Multithreading': 121.46556169016566, 'Documentation': 9.28452600624355} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 140, 'java.security': 0, 'java.nio': 0, 'java.lang': 179, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 18}
180090 kalendae {'Error Prone': 74.26956549906775, 'Design': 33.900475454431415, 'Performance': 123.64925525497007, 'Security': 145.23274628503742, 'Code Style': 26.193560098897066, 'Best Practices': 47.35322749032761, 'Multithreading': 117.25300102902231, 'Documentation': 141.9499460113556} {'java.sql': 0, 'java.text': 2, 'java.net': 20, 'java.math': 0, 'java.rmi': 0, 'java.util': 28, 'java.security': 0, 'java.nio': 0, 'java.lang': 68, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 9}
1882009 iNPUTmice {'Error Prone': 14.910536552311028, 'Design': 4.886854899399732, 'Performance': 28.933097943870155, 'Security': 32.864230658592724, 'Code Style': 3.41037571004023, 'Best Practices': 16.41745427155435, 'Multithreading': 32.864230658592724, 'Documentation': 5.956702684933591} {'java.sql': 0, 'java.text': 4, 'java.net': 68, 'java.math': 1, 'java.rmi': 0, 'java.util': 551, 'java.security': 18, 'java.nio': 0, 'java.lang': 605, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 87}
23624 edenman {'Error Prone': 10.434201728067825, 'Design': 5.484937285088066, 'Performance': 16.949340581101815, 'Security': 16.949340581101815, 'Code Style': 4.196559542657667, 'Best Practices': 10.666846175049265, 'Multithreading': 16.42538766854161, 'Documentation': 5.612926204743937} {'java.sql': 0, 'java.text': 107, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 1330, 'java.security': 0, 'java.nio': 0, 'java.lang': 31, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
420391 rkistner {'Error Prone': 24.31002770925544, 'Design': 20.49417412992073, 'Performance': 68.00590224067608, 'Security': 71.52146676559383, 'Code Style': 6.6367973419569735, 'Best Practices': 54.21167179774706, 'Multithreading': 67.58201731310507, 'Documentation': 7.403984055107904} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 36, 'java.security': 0, 'java.nio': 0, 'java.lang': 67, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 6}
153702 jackpal {'Error Prone': 21.369510570919108, 'Design': 109.98869844220908, 'Performance': 77.60014374356795, 'Security': 149.01299454099887, 'Code Style': 18.527996771096305, 'Best Practices': 106.95153816672463, 'Multithreading': 149.01299454099887, 'Documentation': 9.914053058810484} {'java.sql': 0, 'java.text': 5, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 21, 'java.security': 0, 'java.nio': 0, 'java.lang': 279, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 6}
