39350 mondain {'Multithreading': 140.64148288609027, 'Error Prone': 47.86212076892083, 'Design': 12.816122180528112, 'Performance': 163.58046506894158, 'Best Practices': 90.85912893207725, 'Code Style': 8.00997190724121, 'Security': 163.58046506894158, 'Documentation': 20.025313266456433} {'java.lang': 142, 'java.nio': 0, 'java.io': 13, 'java.util': 31, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
896 JakeWharton {'Multithreading': 97.01806831548788, 'Error Prone': 33.37779770225944, 'Design': 24.735117782101415, 'Performance': 92.50051617020561, 'Best Practices': 73.03448964966924, 'Code Style': 8.611548285549535, 'Security': 112.09062084768692, 'Documentation': 12.059108039643698} {'java.lang': 1657, 'java.nio': 19, 'java.io': 761, 'java.util': 1171, 'others': 0, 'java.awt': 0, 'java.text': 2, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 6, 'java.net': 4}
242686 paulk-asert {'Multithreading': 146.97932136818324, 'Error Prone': 55.07063158596833, 'Design': 8.098746264008934, 'Performance': 123.43923772806905, 'Best Practices': 41.247079714111685, 'Code Style': 1.9825892468902222, 'Security': 172.90922177851314, 'Documentation': 10.870054788661395} {'java.lang': 104, 'java.nio': 0, 'java.io': 0, 'java.util': 11, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 3, 'java.security': 0, 'java.math': 0, 'java.net': 0}
28984 jhy {'Multithreading': 22.29075322735782, 'Error Prone': 14.607545083337987, 'Design': 3.844361794215663, 'Performance': 22.06104591567335, 'Best Practices': 7.310554896121581, 'Code Style': 3.1735977762902072, 'Security': 22.29075322735782, 'Documentation': 6.723587849598031} {'java.lang': 1534, 'java.nio': 136, 'java.io': 227, 'java.util': 809, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 200}
287744 inder123 {'Multithreading': 176.10532722202336, 'Error Prone': 66.17077632613966, 'Design': 34.29440577085537, 'Performance': 187.32055327921523, 'Best Practices': 126.61997554540476, 'Code Style': 9.176773089194368, 'Security': 207.28467619521103, 'Documentation': 16.424371427088648} {'java.lang': 21, 'java.nio': 0, 'java.io': 0, 'java.util': 0, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
10803 rozza {'Multithreading': 165.9761224532728, 'Error Prone': 52.71757654107926, 'Design': 26.98379010842959, 'Performance': 138.9362243961944, 'Best Practices': 53.00452711173216, 'Code Style': 20.166840810158323, 'Security': 165.9761224532728, 'Documentation': 31.64117570063522} {'java.lang': 115, 'java.nio': 1, 'java.io': 7, 'java.util': 196, 'others': 0, 'java.awt': 0, 'java.text': 1, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 3, 'java.net': 0}
341589 asaph {'Multithreading': 17.422481785463198, 'Error Prone': 17.422481785463198, 'Design': 15.183310223305998, 'Performance': 17.422481785463198, 'Best Practices': 15.552499608696229, 'Code Style': 8.923442410382517, 'Security': 17.422481785463198, 'Documentation': 12.696667260579822} {'java.lang': 2, 'java.nio': 0, 'java.io': 0, 'java.util': 1, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
416582 jbachorik {'Multithreading': 106.55769515750129, 'Error Prone': 118.71465044853855, 'Design': 33.379855253692305, 'Performance': 121.48981567150047, 'Best Practices': 66.8656866805876, 'Code Style': 9.020464562165564, 'Security': 161.30303340149828, 'Documentation': 21.21805049125865} {'java.lang': 2723, 'java.nio': 53, 'java.io': 327, 'java.util': 907, 'others': 0, 'java.awt': 0, 'java.text': 16, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 23, 'java.math': 0, 'java.net': 37}
183662 chalup {'Multithreading': 13.026880926739832, 'Error Prone': 13.026880926739832, 'Design': 3.7655603059562326, 'Performance': 13.026880926739832, 'Best Practices': 13.026880926739832, 'Code Style': 3.0038583232692626, 'Security': 13.026880926739832, 'Documentation': 4.5433221588408825} {'java.lang': 38, 'java.nio': 0, 'java.io': 0, 'java.util': 0, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
3253 vlasovskikh {'Multithreading': 112.69031462062325, 'Error Prone': 77.47215911215655, 'Design': 18.1732010836279, 'Performance': 99.0005517952627, 'Best Practices': 70.67204748052295, 'Code Style': 9.455354764774137, 'Security': 140.38654594045852, 'Documentation': 15.955705444132041} {'java.lang': 193, 'java.nio': 0, 'java.io': 0, 'java.util': 43, 'others': 0, 'java.awt': 62, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
19452 renas {'Multithreading': 18.860981775303138, 'Error Prone': 9.687521459504534, 'Design': 16.059605444198123, 'Performance': 17.997991340459965, 'Best Practices': 12.32365545185765, 'Code Style': 2.895876754990108, 'Security': 18.860981775303138, 'Documentation': 5.504933533583993} {'java.lang': 102, 'java.nio': 0, 'java.io': 0, 'java.util': 40, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
987133 scottdraves {'Multithreading': 164.14243014173223, 'Error Prone': 164.14243014173223, 'Design': 164.14243014173223, 'Performance': 164.14243014173223, 'Best Practices': 164.14243014173223, 'Code Style': 164.14243014173223, 'Security': 164.14243014173223, 'Documentation': 164.14243014173223} {'java.lang': 0, 'java.nio': 0, 'java.io': 0, 'java.util': 0, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
375028 nicbell {'Multithreading': 9.905644886340022, 'Error Prone': 7.248082427758939, 'Design': 6.657770160933996, 'Performance': 9.12821261876975, 'Best Practices': 9.733958596250313, 'Code Style': 4.773026913324457, 'Security': 9.905644886340022, 'Documentation': 5.96816535665011} {'java.lang': 13, 'java.nio': 0, 'java.io': 0, 'java.util': 18, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
227010 mattrjacobs {'Multithreading': 121.46556169016566, 'Error Prone': 44.29948662080024, 'Design': 10.454468870551155, 'Performance': 157.02779634084573, 'Best Practices': 14.778987633878087, 'Code Style': 6.931862322104878, 'Security': 157.02779634084573, 'Documentation': 9.28452600624355} {'java.lang': 185, 'java.nio': 0, 'java.io': 18, 'java.util': 141, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
180090 kalendae {'Multithreading': 117.25300102902231, 'Error Prone': 74.19154906237617, 'Design': 33.85859764009346, 'Performance': 123.64925525497007, 'Best Practices': 47.30809933834529, 'Code Style': 26.172693665412435, 'Security': 145.23274628503742, 'Documentation': 141.9499460113556} {'java.lang': 69, 'java.nio': 0, 'java.io': 9, 'java.util': 30, 'others': 0, 'java.awt': 0, 'java.text': 2, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 20}
1882009 iNPUTmice {'Multithreading': 32.864230658592724, 'Error Prone': 14.910536552311028, 'Design': 4.883001809544867, 'Performance': 28.933097943870155, 'Best Practices': 16.41745427155435, 'Code Style': 3.4049336617778607, 'Security': 32.864230658592724, 'Documentation': 5.93827233663142} {'java.lang': 606, 'java.nio': 0, 'java.io': 87, 'java.util': 556, 'others': 0, 'java.awt': 0, 'java.text': 4, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 18, 'java.math': 0, 'java.net': 68}
23624 edenman {'Multithreading': 16.42538766854161, 'Error Prone': 10.434201728067825, 'Design': 5.484937285088066, 'Performance': 16.949340581101815, 'Best Practices': 10.666846175049265, 'Code Style': 4.196559542657667, 'Security': 16.949340581101815, 'Documentation': 5.612926204743937} {'java.lang': 32, 'java.nio': 0, 'java.io': 0, 'java.util': 1352, 'others': 0, 'java.awt': 0, 'java.text': 110, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
